depth,latitude,longitude,time,so
1.0182366,37.854168,23.458334,2026-01-08,39.11185
1.0182366,37.854168,23.458334,2026-01-09,39.116714
1.0182366,37.854168,23.458334,2026-01-10,39.117237
1.0182366,37.854168,23.458334,2026-01-11,39.11924
1.0182366,37.854168,23.458334,2026-01-12,39.12259
1.0182366,37.854168,23.458334,2026-01-13,39.11985
1.0182366,37.854168,23.458334,2026-01-14,39.119003
1.0182366,37.854168,23.458334,2026-01-15,39.12032
1.0182366,37.854168,23.458334,2026-01-16,39.121914
1.0182366,37.854168,23.458334,2026-01-17,39.124844
1.0182366,37.854168,23.458334,2026-01-18,39.127705
1.0182366,37.854168,23.458334,2026-01-19,39.126865
1.0182366,37.854168,23.458334,2026-01-20,39.127045
1.0182366,37.854168,23.458334,2026-01-21,38.91685
1.0182366,37.854168,23.458334,2026-01-22,38.961174
1.0182366,37.854168,23.458334,2026-01-23,39.065907
1.0182366,37.854168,23.458334,2026-01-24,39.06449
1.0182366,37.854168,23.458334,2026-01-25,39.045803
1.0182366,37.854168,23.458334,2026-01-26,39.01843
1.0182366,37.854168,23.458334,2026-01-27,39.006535
1.0182366,37.854168,23.458334,2026-01-28,39.004444
1.0182366,37.854168,23.458334,2026-01-29,38.995106
1.0182366,37.854168,23.458334,2026-01-30,38.997078
1.0182366,37.854168,23.458334,2026-01-31,38.99752
1.0182366,37.854168,23.458334,2026-02-01,38.987293
1.0182366,37.854168,23.458334,2026-02-02,38.989098
1.0182366,37.854168,23.458334,2026-02-03,38.993214
1.0182366,37.854168,23.458334,2026-02-04,38.988834
1.0182366,37.854168,23.458334,2026-02-05,38.974506
1.0182366,37.854168,23.458334,2026-02-06,38.97678
1.0182366,37.854168,23.458334,2026-02-07,38.976555
1.0182366,37.854168,23.5,2026-01-08,39.112034
1.0182366,37.854168,23.5,2026-01-09,39.117138
1.0182366,37.854168,23.5,2026-01-10,39.118484
1.0182366,37.854168,23.5,2026-01-11,39.11961
1.0182366,37.854168,23.5,2026-01-12,39.12361
1.0182366,37.854168,23.5,2026-01-13,39.125935
1.0182366,37.854168,23.5,2026-01-14,39.125854
1.0182366,37.854168,23.5,2026-01-15,39.126026
1.0182366,37.854168,23.5,2026-01-16,39.125706
1.0182366,37.854168,23.5,2026-01-17,39.12623
1.0182366,37.854168,23.5,2026-01-18,39.128815
1.0182366,37.854168,23.5,2026-01-19,39.132153
1.0182366,37.854168,23.5,2026-01-20,39.135593
1.0182366,37.854168,23.5,2026-01-21,38.9532
1.0182366,37.854168,23.5,2026-01-22,38.96903
1.0182366,37.854168,23.5,2026-01-23,39.050426
1.0182366,37.854168,23.5,2026-01-24,39.04219
1.0182366,37.854168,23.5,2026-01-25,39.024834
1.0182366,37.854168,23.5,2026-01-26,38.995766
1.0182366,37.854168,23.5,2026-01-27,38.991875
1.0182366,37.854168,23.5,2026-01-28,38.990612
1.0182366,37.854168,23.5,2026-01-29,38.98312
1.0182366,37.854168,23.5,2026-01-30,38.987026
1.0182366,37.854168,23.5,2026-01-31,38.99012
1.0182366,37.854168,23.5,2026-02-01,38.982136
1.0182366,37.854168,23.5,2026-02-02,38.983265
1.0182366,37.854168,23.5,2026-02-03,38.985466
1.0182366,37.854168,23.5,2026-02-04,38.982426
1.0182366,37.854168,23.5,2026-02-05,38.96547
1.0182366,37.854168,23.5,2026-02-06,38.968307
1.0182366,37.854168,23.5,2026-02-07,38.967842
1.0182366,37.854168,23.541666,2026-01-08,39.107594
1.0182366,37.854168,23.541666,2026-01-09,39.112774
1.0182366,37.854168,23.541666,2026-01-10,39.11421
1.0182366,37.854168,23.541666,2026-01-11,39.11519
1.0182366,37.854168,23.541666,2026-01-12,39.11772
1.0182366,37.854168,23.541666,2026-01-13,39.12046
1.0182366,37.854168,23.541666,2026-01-14,39.12183
1.0182366,37.854168,23.541666,2026-01-15,39.122574
1.0182366,37.854168,23.541666,2026-01-16,39.122383
1.0182366,37.854168,23.541666,2026-01-17,39.122345
1.0182366,37.854168,23.541666,2026-01-18,39.12432
1.0182366,37.854168,23.541666,2026-01-19,39.128162
1.0182366,37.854168,23.541666,2026-01-20,39.132195
1.0182366,37.854168,23.541666,2026-01-21,38.983753
1.0182366,37.854168,23.541666,2026-01-22,38.964336
1.0182366,37.854168,23.541666,2026-01-23,39.02188
1.0182366,37.854168,23.541666,2026-01-24,39.015774
1.0182366,37.854168,23.541666,2026-01-25,39.00439
1.0182366,37.854168,23.541666,2026-01-26,38.979595
1.0182366,37.854168,23.541666,2026-01-27,38.976307
1.0182366,37.854168,23.541666,2026-01-28,38.976776
1.0182366,37.854168,23.541666,2026-01-29,38.971592
1.0182366,37.854168,23.541666,2026-01-30,38.975395
1.0182366,37.854168,23.541666,2026-01-31,38.981483
1.0182366,37.854168,23.541666,2026-02-01,38.97406
1.0182366,37.854168,23.541666,2026-02-02,38.97296
1.0182366,37.854168,23.541666,2026-02-03,38.975353
1.0182366,37.854168,23.541666,2026-02-04,38.974545
1.0182366,37.854168,23.541666,2026-02-05,38.96632
1.0182366,37.854168,23.541666,2026-02-06,38.963715
1.0182366,37.854168,23.541666,2026-02-07,38.962494
1.0182366,37.854168,23.583334,2026-01-08,39.101387
1.0182366,37.854168,23.583334,2026-01-09,39.103676
1.0182366,37.854168,23.583334,2026-01-10,39.105995
1.0182366,37.854168,23.583334,2026-01-11,39.107414
1.0182366,37.854168,23.583334,2026-01-12,39.109936
1.0182366,37.854168,23.583334,2026-01-13,39.112247
1.0182366,37.854168,23.583334,2026-01-14,39.114693
1.0182366,37.854168,23.583334,2026-01-15,39.116528
1.0182366,37.854168,23.583334,2026-01-16,39.11734
1.0182366,37.854168,23.583334,2026-01-17,39.11842
1.0182366,37.854168,23.583334,2026-01-18,39.120697
1.0182366,37.854168,23.583334,2026-01-19,39.1237
1.0182366,37.854168,23.583334,2026-01-20,39.12596
1.0182366,37.854168,23.583334,2026-01-21,39.004112
1.0182366,37.854168,23.583334,2026-01-22,38.978508
1.0182366,37.854168,23.583334,2026-01-23,39.014835
1.0182366,37.854168,23.583334,2026-01-24,39.002567
1.0182366,37.854168,23.583334,2026-01-25,38.991055
1.0182366,37.854168,23.583334,2026-01-26,38.966198
1.0182366,37.854168,23.583334,2026-01-27,38.963116
1.0182366,37.854168,23.583334,2026-01-28,38.96287
1.0182366,37.854168,23.583334,2026-01-29,38.95806
1.0182366,37.854168,23.583334,2026-01-30,38.96285
1.0182366,37.854168,23.583334,2026-01-31,38.965874
1.0182366,37.854168,23.583334,2026-02-01,38.95778
1.0182366,37.854168,23.583334,2026-02-02,38.959446
1.0182366,37.854168,23.583334,2026-02-03,38.967415
1.0182366,37.854168,23.583334,2026-02-04,38.9654
1.0182366,37.854168,23.583334,2026-02-05,38.95715
1.0182366,37.854168,23.583334,2026-02-06,38.952206
1.0182366,37.854168,23.583334,2026-02-07,38.951202
1.0182366,37.854168,23.625,2026-01-08,39.095085
1.0182366,37.854168,23.625,2026-01-09,39.09765
1.0182366,37.854168,23.625,2026-01-10,39.099255
1.0182366,37.854168,23.625,2026-01-11,39.1008
1.0182366,37.854168,23.625,2026-01-12,39.105576
1.0182366,37.854168,23.625,2026-01-13,39.110916
1.0182366,37.854168,23.625,2026-01-14,39.1132
1.0182366,37.854168,23.625,2026-01-15,39.11227
1.0182366,37.854168,23.625,2026-01-16,39.111927
1.0182366,37.854168,23.625,2026-01-17,39.112625
1.0182366,37.854168,23.625,2026-01-18,39.11485
1.0182366,37.854168,23.625,2026-01-19,39.116337
1.0182366,37.854168,23.625,2026-01-20,39.113102
1.0182366,37.854168,23.625,2026-01-21,39.002033
1.0182366,37.854168,23.625,2026-01-22,38.981716
1.0182366,37.854168,23.625,2026-01-23,39.001472
1.0182366,37.854168,23.625,2026-01-24,38.99177
1.0182366,37.854168,23.625,2026-01-25,38.979473
1.0182366,37.854168,23.625,2026-01-26,38.957275
1.0182366,37.854168,23.625,2026-01-27,38.956223
1.0182366,37.854168,23.625,2026-01-28,38.953186
1.0182366,37.854168,23.625,2026-01-29,38.946705
1.0182366,37.854168,23.625,2026-01-30,38.95262
1.0182366,37.854168,23.625,2026-01-31,38.952995
1.0182366,37.854168,23.625,2026-02-01,38.944225
1.0182366,37.854168,23.625,2026-02-02,38.940273
1.0182366,37.854168,23.625,2026-02-03,38.945164
1.0182366,37.854168,23.625,2026-02-04,38.951733
1.0182366,37.854168,23.625,2026-02-05,38.944267
1.0182366,37.854168,23.625,2026-02-06,38.937428
1.0182366,37.854168,23.625,2026-02-07,38.937653
1.0182366,37.854168,23.666666,2026-01-08,39.08404
1.0182366,37.854168,23.666666,2026-01-09,39.092297
1.0182366,37.854168,23.666666,2026-01-10,39.097775
1.0182366,37.854168,23.666666,2026-01-11,39.10118
1.0182366,37.854168,23.666666,2026-01-12,39.108025
1.0182366,37.854168,23.666666,2026-01-13,39.113033
