depth,latitude,longitude,time,nh4,no3,po4
1.0182366,34.604168,33.0,2025-12-07,,,
1.0182366,34.604168,33.0,2025-12-08,,,
1.0182366,34.604168,33.0,2025-12-09,,,
1.0182366,34.604168,33.0,2025-12-10,,,
1.0182366,34.604168,33.0,2025-12-11,,,
1.0182366,34.604168,33.0,2025-12-12,,,
1.0182366,34.604168,33.0,2025-12-13,,,
1.0182366,34.604168,33.0,2025-12-14,,,
1.0182366,34.604168,33.0,2025-12-15,,,
1.0182366,34.604168,33.0,2025-12-16,,,
1.0182366,34.604168,33.0,2025-12-17,,,
1.0182366,34.604168,33.0,2025-12-18,,,
1.0182366,34.604168,33.0,2025-12-19,,,
1.0182366,34.604168,33.0,2025-12-20,,,
1.0182366,34.604168,33.0,2025-12-21,,,
1.0182366,34.604168,33.0,2025-12-22,,,
1.0182366,34.604168,33.0,2025-12-23,,,
1.0182366,34.604168,33.0,2025-12-24,,,
1.0182366,34.604168,33.0,2025-12-25,,,
1.0182366,34.604168,33.0,2025-12-26,,,
1.0182366,34.604168,33.0,2025-12-27,,,
1.0182366,34.604168,33.0,2025-12-28,,,
1.0182366,34.604168,33.0,2025-12-29,,,
1.0182366,34.604168,33.0,2025-12-30,,,
1.0182366,34.604168,33.0,2025-12-31,,,
1.0182366,34.604168,33.0,2026-01-01,,,
1.0182366,34.604168,33.0,2026-01-02,,,
1.0182366,34.604168,33.0,2026-01-03,,,
1.0182366,34.604168,33.0,2026-01-04,,,
1.0182366,34.604168,33.0,2026-01-05,,,
1.0182366,34.604168,33.0,2026-01-06,,,
1.0182366,34.604168,33.041668,2025-12-07,,,
1.0182366,34.604168,33.041668,2025-12-08,,,
1.0182366,34.604168,33.041668,2025-12-09,,,
1.0182366,34.604168,33.041668,2025-12-10,,,
1.0182366,34.604168,33.041668,2025-12-11,,,
1.0182366,34.604168,33.041668,2025-12-12,,,
1.0182366,34.604168,33.041668,2025-12-13,,,
1.0182366,34.604168,33.041668,2025-12-14,,,
1.0182366,34.604168,33.041668,2025-12-15,,,
1.0182366,34.604168,33.041668,2025-12-16,,,
1.0182366,34.604168,33.041668,2025-12-17,,,
1.0182366,34.604168,33.041668,2025-12-18,,,
1.0182366,34.604168,33.041668,2025-12-19,,,
1.0182366,34.604168,33.041668,2025-12-20,,,
1.0182366,34.604168,33.041668,2025-12-21,,,
1.0182366,34.604168,33.041668,2025-12-22,,,
1.0182366,34.604168,33.041668,2025-12-23,,,
1.0182366,34.604168,33.041668,2025-12-24,,,
1.0182366,34.604168,33.041668,2025-12-25,,,
1.0182366,34.604168,33.041668,2025-12-26,,,
1.0182366,34.604168,33.041668,2025-12-27,,,
1.0182366,34.604168,33.041668,2025-12-28,,,
1.0182366,34.604168,33.041668,2025-12-29,,,
1.0182366,34.604168,33.041668,2025-12-30,,,
1.0182366,34.604168,33.041668,2025-12-31,,,
1.0182366,34.604168,33.041668,2026-01-01,,,
1.0182366,34.604168,33.041668,2026-01-02,,,
1.0182366,34.604168,33.041668,2026-01-03,,,
1.0182366,34.604168,33.041668,2026-01-04,,,
1.0182366,34.604168,33.041668,2026-01-05,,,
1.0182366,34.604168,33.041668,2026-01-06,,,
1.0182366,34.604168,33.083332,2025-12-07,0.048533533,0.16824353,0.00459552
1.0182366,34.604168,33.083332,2025-12-08,0.04827539,0.1687019,0.0045911903
1.0182366,34.604168,33.083332,2025-12-09,0.048502207,0.16988441,0.004604194
1.0182366,34.604168,33.083332,2025-12-10,0.048533842,0.17084059,0.0045950282
1.0182366,34.604168,33.083332,2025-12-11,0.047683123,0.17153102,0.004517768
1.0182366,34.604168,33.083332,2025-12-12,0.047060516,0.17257538,0.004449266
1.0182366,34.604168,33.083332,2025-12-13,0.04690174,0.17338246,0.004420914
1.0182366,34.604168,33.083332,2025-12-14,0.047681015,0.17407486,0.0044664526
1.0182366,34.604168,33.083332,2025-12-15,0.04842383,0.17485435,0.0045107654
1.0182366,34.604168,33.083332,2025-12-16,0.04857313,0.17647833,0.004521248
1.0182366,34.604168,33.083332,2025-12-17,0.04826676,0.17794517,0.004500211
1.0182366,34.604168,33.083332,2025-12-18,0.047401976,0.17965072,0.0044405847
1.0182366,34.604168,33.083332,2025-12-19,0.046514943,0.18166035,0.004400232
1.0182366,34.604168,33.083332,2025-12-20,0.045680378,0.1827234,0.00436312
1.0182366,34.604168,33.083332,2025-12-21,0.04525502,0.18379995,0.0043578823
1.0182366,34.604168,33.083332,2025-12-22,0.04532022,0.18557905,0.0043786834
1.0182366,34.604168,33.083332,2025-12-23,0.04530929,0.1878437,0.0043936423
1.0182366,34.604168,33.083332,2025-12-24,0.04553308,0.163892,0.0038942758
1.0182366,34.604168,33.083332,2025-12-25,0.04575057,0.11207061,0.0028704626
1.0182366,34.604168,33.083332,2025-12-26,0.04658673,0.09569062,0.002561904
1.0182366,34.604168,33.083332,2025-12-27,0.046900734,0.0946048,0.0025353332
1.0182366,34.604168,33.083332,2025-12-28,0.046922863,0.09355896,0.002499199
1.0182366,34.604168,33.083332,2025-12-29,0.046505123,0.091032125,0.0024575612
1.0182366,34.604168,33.083332,2025-12-30,0.045436077,0.08672492,0.002408184
1.0182366,34.604168,33.083332,2025-12-31,0.046020243,0.087173894,0.0024298488
1.0182366,34.604168,33.083332,2026-01-01,0.04767653,0.093884744,0.002534953
1.0182366,34.604168,33.083332,2026-01-02,0.047241487,0.091320366,0.002524961
1.0182366,34.604168,33.083332,2026-01-03,0.046268217,0.0887835,0.0025138336
1.0182366,34.604168,33.083332,2026-01-04,0.045367677,0.08917426,0.002546331
1.0182366,34.604168,33.083332,2026-01-05,0.047064606,0.108602345,0.0029607587
1.0182366,34.604168,33.083332,2026-01-06,0.04834988,0.13784926,0.0035948232
1.0182366,34.604168,33.125,2025-12-07,0.04839032,0.16783522,0.004583866
1.0182366,34.604168,33.125,2025-12-08,0.048206583,0.16823736,0.00458391
1.0182366,34.604168,33.125,2025-12-09,0.048588537,0.16951317,0.004604
1.0182366,34.604168,33.125,2025-12-10,0.048536822,0.17048687,0.0045859185
1.0182366,34.604168,33.125,2025-12-11,0.047526605,0.17132545,0.0044963593
1.0182366,34.604168,33.125,2025-12-12,0.046803523,0.17244071,0.004425784
1.0182366,34.604168,33.125,2025-12-13,0.046643905,0.17332913,0.0043996726
1.0182366,34.604168,33.125,2025-12-14,0.047570802,0.17404927,0.004456518
1.0182366,34.604168,33.125,2025-12-15,0.048483547,0.17480776,0.0045136334
1.0182366,34.604168,33.125,2025-12-16,0.048246324,0.17631966,0.004492404
1.0182366,34.604168,33.125,2025-12-17,0.047622908,0.17803542,0.004450315
1.0182366,34.604168,33.125,2025-12-18,0.04687402,0.18001987,0.0044021956
1.0182366,34.604168,33.125,2025-12-19,0.046209194,0.18203217,0.004376912
1.0182366,34.604168,33.125,2025-12-20,0.045485683,0.1830569,0.004348201
1.0182366,34.604168,33.125,2025-12-21,0.04508887,0.18392396,0.004345065
1.0182366,34.604168,33.125,2025-12-22,0.045223087,0.18560489,0.0043705534
1.0182366,34.604168,33.125,2025-12-23,0.04521845,0.18786839,0.004379181
1.0182366,34.604168,33.125,2025-12-24,0.045331728,0.16218147,0.0038381915
1.0182366,34.604168,33.125,2025-12-25,0.045468453,0.10750537,0.0027776635
1.0182366,34.604168,33.125,2025-12-26,0.046227325,0.0887574,0.0024586995
1.0182366,34.604168,33.125,2025-12-27,0.046731364,0.08898587,0.0024538883
1.0182366,34.604168,33.125,2025-12-28,0.046791974,0.08898615,0.002440823
1.0182366,34.604168,33.125,2025-12-29,0.046291437,0.0873251,0.0024144687
1.0182366,34.604168,33.125,2025-12-30,0.045328088,0.083050825,0.002362805
1.0182366,34.604168,33.125,2025-12-31,0.04554828,0.08366601,0.0023831655
1.0182366,34.604168,33.125,2026-01-01,0.047513265,0.09093112,0.0024964716
1.0182366,34.604168,33.125,2026-01-02,0.04769089,0.09207998,0.0025339355
1.0182366,34.604168,33.125,2026-01-03,0.047133587,0.092071645,0.0025634512
1.0182366,34.604168,33.125,2026-01-04,0.047070112,0.09654248,0.0026619409
1.0182366,34.604168,33.125,2026-01-05,0.04884456,0.11910977,0.003113861
1.0182366,34.604168,33.125,2026-01-06,0.048709672,0.14788866,0.0037044028
1.0182366,34.604168,33.166668,2025-12-07,0.048155244,0.16743033,0.0045632175
1.0182366,34.604168,33.166668,2025-12-08,0.047954906,0.1676421,0.0045632105
1.0182366,34.604168,33.166668,2025-12-09,0.04845468,0.16896465,0.0045870184
1.0182366,34.604168,33.166668,2025-12-10,0.048250202,0.17006338,0.0045525474
1.0182366,34.604168,33.166668,2025-12-11,0.04722779,0.171171,0.004461284
1.0182366,34.604168,33.166668,2025-12-12,0.046509776,0.17242675,0.0043960754
1.0182366,34.604168,33.166668,2025-12-13,0.046205144,0.17343007,0.004363648
1.0182366,34.604168,33.166668,2025-12-14,0.047023583,0.17422652,0.004413985
1.0182366,34.604168,33.166668,2025-12-15,0.048061404,0.1750045,0.004480576
1.0182366,34.604168,33.166668,2025-12-16,0.047515403,0.17650259,0.0044346196
1.0182366,34.604168,33.166668,2025-12-17,0.04672519,0.17855158,0.0043846588
1.0182366,34.604168,33.166668,2025-12-18,0.046211768,0.18085535,0.004358029
1.0182366,34.604168,33.166668,2025-12-19,0.045842748,0.18276085,0.0043501654
1.0182366,34.604168,33.166668,2025-12-20,0.045276027,0.18372716,0.0043306276
1.0182366,34.604168,33.166668,2025-12-21,0.04487979,0.18436264,0.004326092
1.0182366,34.604168,33.166668,2025-12-22,0.044981483,0.18566284,0.0043470757
1.0182366,34.604168,33.166668,2025-12-23,0.0450422,0.18804818,0.004355528
1.0182366,34.604168,33.166668,2025-12-24,0.045115612,0.16057286,0.0037758225
1.0182366,34.604168,33.166668,2025-12-25,0.045112565,0.10303068,0.002664242
1.0182366,34.604168,33.166668,2025-12-26,0.045550145,0.08025566,0.0023244184
1.0182366,34.604168,33.166668,2025-12-27,0.04618639,0.07954861,0.002316233
1.0182366,34.604168,33.166668,2025-12-28,0.046388034,0.08068837,0.0023281914
1.0182366,34.604168,33.166668,2025-12-29,0.045979593,0.080882214,0.0023318052
1.0182366,34.604168,33.166668,2025-12-30,0.045190554,0.07738036,0.0022850765
1.0182366,34.604168,33.166668,2025-12-31,0.04495726,0.078794226,0.0023121827
1.0182366,34.604168,33.166668,2026-01-01,0.046747383,0.08557015,0.0024209279
1.0182366,34.604168,33.166668,2026-01-02,0.048114248,0.09165187,0.0025279124
