region,threshold_pred,threshold_obs,tp,fp,fn,precision,recall,f1
thermaikos,1.0236915763,1.1355665,6,1,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
peiraeus,0.29022338629999994,0.28291723,2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857
limassol,0.16158066210000002,0.084763475,7,0,0,1.0,1.0,1.0
