depth,latitude,longitude,time,so
1.0182366,37.854168,23.583334,2025-11-23,39.083065
1.0182366,37.854168,23.583334,2025-11-24,39.08357
1.0182366,37.854168,23.583334,2025-11-25,39.08614
1.0182366,37.854168,23.583334,2025-11-26,39.086044
1.0182366,37.854168,23.583334,2025-11-27,39.085083
1.0182366,37.854168,23.583334,2025-11-28,39.075832
1.0182366,37.854168,23.583334,2025-11-29,39.07215
1.0182366,37.854168,23.583334,2025-11-30,39.076595
1.0182366,37.854168,23.583334,2025-12-01,39.08335
1.0182366,37.854168,23.583334,2025-12-02,39.08606
1.0182366,37.854168,23.583334,2025-12-03,39.08782
1.0182366,37.854168,23.583334,2025-12-04,39.07744
1.0182366,37.854168,23.583334,2025-12-05,38.894833
1.0182366,37.854168,23.583334,2025-12-06,39.043262
1.0182366,37.854168,23.583334,2025-12-07,39.047813
1.0182366,37.854168,23.583334,2025-12-08,39.05438
1.0182366,37.854168,23.583334,2025-12-09,39.061554
1.0182366,37.854168,23.583334,2025-12-10,39.067665
1.0182366,37.854168,23.583334,2025-12-11,39.071632
1.0182366,37.854168,23.583334,2025-12-12,39.073593
1.0182366,37.854168,23.583334,2025-12-13,39.075653
1.0182366,37.854168,23.583334,2025-12-14,39.078495
1.0182366,37.854168,23.583334,2025-12-15,39.080627
1.0182366,37.854168,23.583334,2025-12-16,39.082718
1.0182366,37.854168,23.625,2025-11-16,39.079372
1.0182366,37.854168,23.625,2025-11-17,39.079723
1.0182366,37.854168,23.625,2025-11-18,39.081825
1.0182366,37.854168,23.625,2025-11-19,39.085155
1.0182366,37.854168,23.625,2025-11-20,39.08885
1.0182366,37.854168,23.625,2025-11-21,39.091263
1.0182366,37.854168,23.625,2025-11-22,39.0892
1.0182366,37.854168,23.625,2025-11-23,39.08028
1.0182366,37.854168,23.625,2025-11-24,39.080498
1.0182366,37.854168,23.625,2025-11-25,39.0846
1.0182366,37.854168,23.625,2025-11-26,39.08218
1.0182366,37.854168,23.625,2025-11-27,39.0787
1.0182366,37.854168,23.625,2025-11-28,39.069546
1.0182366,37.854168,23.625,2025-11-29,39.06715
1.0182366,37.854168,23.625,2025-11-30,39.072514
1.0182366,37.854168,23.625,2025-12-01,39.079456
1.0182366,37.854168,23.625,2025-12-02,39.08249
1.0182366,37.854168,23.625,2025-12-03,39.08592
1.0182366,37.854168,23.625,2025-12-04,39.074818
1.0182366,37.854168,23.625,2025-12-05,38.93824
1.0182366,37.854168,23.625,2025-12-06,39.040882
1.0182366,37.854168,23.625,2025-12-07,39.04929
1.0182366,37.854168,23.625,2025-12-08,39.05544
1.0182366,37.854168,23.625,2025-12-09,39.062233
1.0182366,37.854168,23.625,2025-12-10,39.066555
1.0182366,37.854168,23.625,2025-12-11,39.06808
1.0182366,37.854168,23.625,2025-12-12,39.06947
1.0182366,37.854168,23.625,2025-12-13,39.07181
1.0182366,37.854168,23.625,2025-12-14,39.07447
1.0182366,37.854168,23.625,2025-12-15,39.075924
1.0182366,37.854168,23.625,2025-12-16,39.078293
1.0182366,37.854168,23.666666,2025-11-16,39.08216
1.0182366,37.854168,23.666666,2025-11-17,39.082745
1.0182366,37.854168,23.666666,2025-11-18,39.085373
1.0182366,37.854168,23.666666,2025-11-19,39.08825
1.0182366,37.854168,23.666666,2025-11-20,39.091072
1.0182366,37.854168,23.666666,2025-11-21,39.092957
1.0182366,37.854168,23.666666,2025-11-22,39.09103
1.0182366,37.854168,23.666666,2025-11-23,39.08267
1.0182366,37.854168,23.666666,2025-11-24,39.086052
1.0182366,37.854168,23.666666,2025-11-25,39.090065
1.0182366,37.854168,23.666666,2025-11-26,39.081688
1.0182366,37.854168,23.666666,2025-11-27,39.075336
1.0182366,37.854168,23.666666,2025-11-28,39.06498
1.0182366,37.854168,23.666666,2025-11-29,39.062355
1.0182366,37.854168,23.666666,2025-11-30,39.066998
1.0182366,37.854168,23.666666,2025-12-01,39.07385
1.0182366,37.854168,23.666666,2025-12-02,39.079273
1.0182366,37.854168,23.666666,2025-12-03,39.08437
1.0182366,37.854168,23.666666,2025-12-04,39.070454
1.0182366,37.854168,23.666666,2025-12-05,38.96037
1.0182366,37.854168,23.666666,2025-12-06,39.037994
1.0182366,37.854168,23.666666,2025-12-07,39.04043
1.0182366,37.854168,23.666666,2025-12-08,39.044086
1.0182366,37.854168,23.666666,2025-12-09,39.047455
1.0182366,37.854168,23.666666,2025-12-10,39.05092
1.0182366,37.854168,23.666666,2025-12-11,39.053345
1.0182366,37.854168,23.666666,2025-12-12,39.0566
1.0182366,37.854168,23.666666,2025-12-13,39.06142
1.0182366,37.854168,23.666666,2025-12-14,39.064445
1.0182366,37.854168,23.666666,2025-12-15,39.06678
1.0182366,37.854168,23.666666,2025-12-16,39.07028
1.0182366,37.854168,23.708334,2025-11-16,39.08756
1.0182366,37.854168,23.708334,2025-11-17,39.08805
1.0182366,37.854168,23.708334,2025-11-18,39.089962
1.0182366,37.854168,23.708334,2025-11-19,39.09198
1.0182366,37.854168,23.708334,2025-11-20,39.093826
1.0182366,37.854168,23.708334,2025-11-21,39.095444
1.0182366,37.854168,23.708334,2025-11-22,39.09405
1.0182366,37.854168,23.708334,2025-11-23,39.086594
1.0182366,37.854168,23.708334,2025-11-24,39.0925
1.0182366,37.854168,23.708334,2025-11-25,39.095844
1.0182366,37.854168,23.708334,2025-11-26,39.08394
1.0182366,37.854168,23.708334,2025-11-27,39.0724
1.0182366,37.854168,23.708334,2025-11-28,39.05945
1.0182366,37.854168,23.708334,2025-11-29,39.056534
1.0182366,37.854168,23.708334,2025-11-30,39.060062
1.0182366,37.854168,23.708334,2025-12-01,39.066193
1.0182366,37.854168,23.708334,2025-12-02,39.072243
1.0182366,37.854168,23.708334,2025-12-03,39.0776
1.0182366,37.854168,23.708334,2025-12-04,39.061256
1.0182366,37.854168,23.708334,2025-12-05,38.940166
1.0182366,37.854168,23.708334,2025-12-06,39.01771
1.0182366,37.854168,23.708334,2025-12-07,39.015102
1.0182366,37.854168,23.708334,2025-12-08,39.015606
1.0182366,37.854168,23.708334,2025-12-09,39.021484
1.0182366,37.854168,23.708334,2025-12-10,39.02824
1.0182366,37.854168,23.708334,2025-12-11,39.03452
1.0182366,37.854168,23.708334,2025-12-12,39.040123
1.0182366,37.854168,23.708334,2025-12-13,39.04627
1.0182366,37.854168,23.708334,2025-12-14,39.052902
1.0182366,37.854168,23.708334,2025-12-15,39.058388
1.0182366,37.854168,23.708334,2025-12-16,39.06421
1.0182366,37.854168,23.75,2025-11-16,
1.0182366,37.854168,23.75,2025-11-17,
1.0182366,37.854168,23.75,2025-11-18,
1.0182366,37.854168,23.75,2025-11-19,
1.0182366,37.854168,23.75,2025-11-20,
1.0182366,37.854168,23.75,2025-11-21,
1.0182366,37.854168,23.75,2025-11-22,
1.0182366,37.854168,23.75,2025-11-23,
1.0182366,37.854168,23.75,2025-11-24,
1.0182366,37.854168,23.75,2025-11-25,
1.0182366,37.854168,23.75,2025-11-26,
1.0182366,37.854168,23.75,2025-11-27,
1.0182366,37.854168,23.75,2025-11-28,
1.0182366,37.854168,23.75,2025-11-29,
1.0182366,37.854168,23.75,2025-11-30,
1.0182366,37.854168,23.75,2025-12-01,
1.0182366,37.854168,23.75,2025-12-02,
1.0182366,37.854168,23.75,2025-12-03,
1.0182366,37.854168,23.75,2025-12-04,
