nh4,no3,po4,so,thetao,chl_t-1,nh4_t-1,no3_t-1,po4_t-1,so_t-1,thetao_t-1,chl_7day_avg,nh4_7day_avg,no3_7day_avg,po4_7day_avg,so_7day_avg,thetao_7day_avg,n_p_ratio,n_nh4_ratio,p_nh4_ratio,chl_monthly_median,chl_anomaly,bloom_proxy_label
0.21551731,0.668152,0.18163225,37.272575,18.692307,0.48801374,0.213259,0.65112764,0.17613468,37.269753,18.701912,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.4474387,3.0877366,0.8290441,0.4776783585548401,-0.01733243465423584,0
0.21551731,0.668152,0.18163225,37.272575,18.692307,0.48801374,0.213259,0.65112764,0.17613468,37.269753,18.701912,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.4474387,3.0877366,0.8290441,0.4776783585548401,-0.01733243465423584,0
0.21551731,0.668152,0.18163225,37.272575,18.692307,0.48801374,0.213259,0.65112764,0.17613468,37.269753,18.701912,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.4474387,3.0877366,0.8290441,0.4776783585548401,-0.01733243465423584,0
0.2335088,0.6772581,0.19390067,35.255928,16.226646,0.6563914,0.30921486,1.210495,0.26777583,35.111313,16.570139,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,3.4928093,2.9003537,0.8303785,0.4776783585548401,-0.01733243465423584,0
0.2294342,0.6977002,0.1820351,36.224735,16.737556,0.5935867,0.2998379,1.2041297,0.2513086,36.01248,17.079992,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,3.8327785,3.0409598,0.79340875,0.4776783585548401,-0.01733243465423584,0
0.21414049,0.68769234,0.157858,37.272038,17.508343,0.4801872,0.2608129,1.0373657,0.20412138,37.172382,17.868183,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.3563986,3.2114074,0.7371703,0.4776783585548401,-0.01733243465423584,0
0.18820506,0.6139319,0.1257727,37.870014,18.131508,0.3497713,0.19851369,0.7139792,0.13554668,37.936226,18.330597,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.881281,3.262037,0.6682748,0.4776783585548401,-0.01733243465423584,0
0.17519867,0.6080261,0.111998625,38.061672,18.421688,0.2672693,0.16011135,0.53451216,0.095929936,38.11434,18.452085,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,5.428871,3.4704947,0.6392664,0.4776783585548401,-0.01733243465423584,0
0.16013756,0.5841511,0.09955196,38.12253,18.370253,0.21459807,0.12528624,0.3870625,0.066380896,38.130116,18.325111,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,5.8678007,3.647808,0.62166524,0.4776783585548401,-0.01733243465423584,0
0.13291618,0.4668915,0.07660423,38.14047,18.301334,0.17121945,0.08968965,0.21175823,0.03622439,38.144333,18.34915,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,6.0948524,3.512676,0.5763349,0.4776783585548401,-0.01733243465423584,0
0.10115668,0.2908502,0.047963362,38.15354,18.333721,0.14140484,0.06467707,0.07643944,0.0143186385,38.16247,18.445202,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,6.0640078,2.8752444,0.47414923,0.4776783585548401,-0.01733243465423584,0
0.07573761,0.13503274,0.023769008,38.16133,18.35315,0.12630117,0.054360695,0.014894007,0.004372546,38.165382,18.490646,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,5.6810427,1.7829021,0.31383362,0.4776783585548401,-0.01733243465423584,0
0.061549548,0.04272928,0.009268436,38.158604,18.34723,0.12187265,0.054943904,0.010772525,0.0034110323,38.16996,18.518328,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.6101933,0.6942257,0.15058495,0.4776783585548401,-0.01733243465423584,0
0.21551731,0.668152,0.18163225,37.272575,18.692307,0.48801374,0.213259,0.65112764,0.17613468,37.269753,18.701912,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.4474387,3.0877366,0.8290441,0.4776783585548401,-0.01733243465423584,0
0.21551731,0.668152,0.18163225,37.272575,18.692307,0.48801374,0.213259,0.65112764,0.17613468,37.269753,18.701912,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.4474387,3.0877366,0.8290441,0.4776783585548401,-0.01733243465423584,0
0.21551731,0.668152,0.18163225,37.272575,18.692307,0.48801374,0.213259,0.65112764,0.17613468,37.269753,18.701912,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.4474387,3.0877366,0.8290441,0.4776783585548401,-0.01733243465423584,0
0.3496902,1.2783872,0.28247324,35.34741,16.358242,0.6846823,0.46230945,2.2693837,0.40483373,35.16596,16.441729,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.525693,3.6557708,0.8077814,0.4776783585548401,-0.01733243465423584,0
0.339949,1.3262504,0.27470046,35.888405,16.659887,0.630639,0.43199,2.136613,0.3738464,35.64913,16.780794,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.8279877,3.9013216,0.80806375,0.4776783585548401,-0.01733243465423584,0
0.3206167,1.3962585,0.26132634,36.53752,17.05109,0.5336033,0.368663,1.8166732,0.3101881,36.675232,17.352736,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,5.342969,4.354915,0.815074,0.4776783585548401,-0.01733243465423584,0
0.29091066,1.395061,0.23819675,37.28673,17.6857,0.41576907,0.28447726,1.3215015,0.22268823,37.629406,18.068562,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,5.8567595,4.7954965,0.8187969,0.4776783585548401,-0.01733243465423584,0
0.26205808,1.3356295,0.21357219,37.846428,18.333506,0.31635875,0.21548429,0.9028112,0.15042517,38.081944,18.5616,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,6.2537613,5.0966926,0.8149804,0.4776783585548401,-0.01733243465423584,0
0.22517745,1.0983464,0.17190437,38.086697,18.502941,0.26655737,0.1784954,0.7374139,0.11868415,38.109287,18.39002,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,6.389287,4.877692,0.76341736,0.4776783585548401,-0.01733243465423584,0
0.19689776,0.9529647,0.14581648,38.11343,18.352215,0.22567378,0.13761283,0.5145098,0.08259489,38.105865,18.290472,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,6.535371,4.839896,0.7405695,0.4776783585548401,-0.01733243465423584,0
0.15746337,0.69050604,0.10694591,38.10904,18.271666,0.19062778,0.10016024,0.2820667,0.04750325,38.09356,18.258772,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,6.4565916,4.3851852,0.6791796,0.4776783585548401,-0.01733243465423584,0
0.11730879,0.4049905,0.06574603,38.09387,18.167547,0.16328281,0.0751413,0.12151419,0.02313828,38.089138,18.242264,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,6.159923,3.4523458,0.56045276,0.4776783585548401,-0.01733243465423584,0
0.085361876,0.18019855,0.03234734,38.076286,18.059238,0.14253743,0.062264152,0.039528634,0.009810992,38.079353,18.193926,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,5.570738,2.1109958,0.37894365,0.4776783585548401,-0.01733243465423584,0
0.21551731,0.668152,0.18163225,37.272575,18.692307,0.48801374,0.213259,0.65112764,0.17613468,37.269753,18.701912,0.49088122163500103,0.20513181281941278,0.6027747137205941,0.16829490821276394,37.14177431379046,18.740921020507812,4.4474387,3.0877366,0.8290441,0.4776783585548401,-0.01733243465423584,0
