nh4,no3,po4,so,thetao,chl_t-1,nh4_t-1,no3_t-1,po4_t-1,so_t-1,thetao_t-1,chl_7day_avg,nh4_7day_avg,no3_7day_avg,po4_7day_avg,so_7day_avg,thetao_7day_avg,n_p_ratio,n_nh4_ratio,p_nh4_ratio,chl_monthly_median,chl_anomaly,bloom_proxy_label
0.046453424,0.13452947,0.0035200801,39.380714,19.043818,0.06735316,0.046502527,0.13323542,0.003516344,39.380806,19.050114,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,38.100407,2.9280453,0.07587646,0.0682007484138012,0.0015283562242984772,0
0.046453424,0.13452947,0.0035200801,39.380714,19.043818,0.06735316,0.046502527,0.13323542,0.003516344,39.380806,19.050114,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,38.100407,2.9280453,0.07587646,0.0682007484138012,0.0015283562242984772,0
0.042376295,0.15450075,0.0045320545,39.35558,18.715725,0.059694696,0.041760687,0.12625438,0.0036035562,39.3581,18.779942,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,34.090664,3.645924,0.10694787,0.0682007484138012,0.0015283562242984772,0
0.04256404,0.16388214,0.0049604294,39.362156,18.725012,0.059969246,0.042039428,0.13806325,0.0041006487,39.364067,18.774273,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,33.03789,3.8502488,0.11654039,0.0682007484138012,0.0015283562242984772,0
0.042812355,0.17993484,0.005680181,39.369904,18.714304,0.060407992,0.04237049,0.15643589,0.004870222,39.371475,18.744102,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,31.67766,4.202872,0.13267621,0.0682007484138012,0.0015283562242984772,0
0.046453424,0.13452947,0.0035200801,39.380714,19.043818,0.06735316,0.046502527,0.13323542,0.003516344,39.380806,19.050114,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,38.100407,2.9280453,0.07587646,0.0682007484138012,0.0015283562242984772,0
0.046453424,0.13452947,0.0035200801,39.380714,19.043818,0.06735316,0.046502527,0.13323542,0.003516344,39.380806,19.050114,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,38.100407,2.9280453,0.07587646,0.0682007484138012,0.0015283562242984772,0
0.04250811,0.15434355,0.00462109,39.341053,18.63808,0.059040993,0.042102505,0.13060491,0.0038299742,39.349445,18.735483,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,33.399815,3.63092,0.10871078,0.0682007484138012,0.0015283562242984772,0
0.042643987,0.1601024,0.0048774616,39.34488,18.65156,0.059159227,0.042178866,0.13538654,0.0040302076,39.352047,18.738747,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,32.824944,3.7543957,0.11437631,0.0682007484138012,0.0015283562242984772,0
0.042827666,0.1693526,0.0052810167,39.34931,18.65697,0.05936036,0.042373233,0.1450022,0.0044299713,39.35701,18.730457,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,32.068184,3.9542806,0.12330853,0.0682007484138012,0.0015283562242984772,0
0.046453424,0.13452947,0.0035200801,39.380714,19.043818,0.06735316,0.046502527,0.13323542,0.003516344,39.380806,19.050114,0.0674944179398673,0.04658417563353266,0.1289447716304234,0.003439060246039714,39.38217762538365,19.061501911708287,38.100407,2.9280453,0.07587646,0.0682007484138012,0.0015283562242984772,0
