depth,latitude,longitude,time,thetao
1.0182366,37.854168,23.458334,2025-12-22,19.158335
1.0182366,37.854168,23.458334,2025-12-23,19.092836
1.0182366,37.854168,23.458334,2025-12-24,19.029104
1.0182366,37.854168,23.458334,2025-12-25,19.004896
1.0182366,37.854168,23.458334,2025-12-26,18.94407
1.0182366,37.854168,23.458334,2025-12-27,18.877005
1.0182366,37.854168,23.458334,2025-12-28,18.835972
1.0182366,37.854168,23.458334,2025-12-29,18.776752
1.0182366,37.854168,23.458334,2025-12-30,18.735067
1.0182366,37.854168,23.458334,2025-12-31,18.616709
1.0182366,37.854168,23.458334,2026-01-01,18.42258
1.0182366,37.854168,23.458334,2026-01-02,18.342072
1.0182366,37.854168,23.458334,2026-01-03,18.287624
1.0182366,37.854168,23.458334,2026-01-04,18.203215
1.0182366,37.854168,23.458334,2026-01-05,18.094286
1.0182366,37.854168,23.458334,2026-01-06,18.031984
1.0182366,37.854168,23.458334,2026-01-07,18.022963
1.0182366,37.854168,23.458334,2026-01-08,17.961819
1.0182366,37.854168,23.458334,2026-01-09,17.853569
1.0182366,37.854168,23.458334,2026-01-10,17.80613
1.0182366,37.854168,23.458334,2026-01-11,17.73787
1.0182366,37.854168,23.458334,2026-01-12,17.621077
1.0182366,37.854168,23.458334,2026-01-13,17.540506
1.0182366,37.854168,23.458334,2026-01-14,17.499695
1.0182366,37.854168,23.458334,2026-01-15,17.463287
1.0182366,37.854168,23.458334,2026-01-16,17.41987
1.0182366,37.854168,23.458334,2026-01-17,17.344448
1.0182366,37.854168,23.458334,2026-01-18,17.226643
1.0182366,37.854168,23.458334,2026-01-19,17.12877
1.0182366,37.854168,23.458334,2026-01-20,17.031279
1.0182366,37.854168,23.458334,2026-01-21,16.942017
1.0182366,37.854168,23.5,2025-12-22,19.16954
1.0182366,37.854168,23.5,2025-12-23,19.104134
1.0182366,37.854168,23.5,2025-12-24,18.969929
1.0182366,37.854168,23.5,2025-12-25,18.996166
1.0182366,37.854168,23.5,2025-12-26,18.93156
1.0182366,37.854168,23.5,2025-12-27,18.846043
1.0182366,37.854168,23.5,2025-12-28,18.771578
1.0182366,37.854168,23.5,2025-12-29,18.705704
1.0182366,37.854168,23.5,2025-12-30,18.671234
1.0182366,37.854168,23.5,2025-12-31,18.566956
1.0182366,37.854168,23.5,2026-01-01,18.380491
1.0182366,37.854168,23.5,2026-01-02,18.287052
1.0182366,37.854168,23.5,2026-01-03,18.23819
1.0182366,37.854168,23.5,2026-01-04,18.179672
1.0182366,37.854168,23.5,2026-01-05,18.09812
1.0182366,37.854168,23.5,2026-01-06,18.02874
1.0182366,37.854168,23.5,2026-01-07,18.017109
1.0182366,37.854168,23.5,2026-01-08,17.96037
1.0182366,37.854168,23.5,2026-01-09,17.850319
1.0182366,37.854168,23.5,2026-01-10,17.798155
1.0182366,37.854168,23.5,2026-01-11,17.737095
1.0182366,37.854168,23.5,2026-01-12,17.613438
1.0182366,37.854168,23.5,2026-01-13,17.50575
1.0182366,37.854168,23.5,2026-01-14,17.456367
1.0182366,37.854168,23.5,2026-01-15,17.418436
1.0182366,37.854168,23.5,2026-01-16,17.38243
1.0182366,37.854168,23.5,2026-01-17,17.323973
1.0182366,37.854168,23.5,2026-01-18,17.214968
1.0182366,37.854168,23.5,2026-01-19,17.105345
1.0182366,37.854168,23.5,2026-01-20,16.99872
1.0182366,37.854168,23.5,2026-01-21,16.912384
1.0182366,37.854168,23.541666,2025-12-22,19.200388
1.0182366,37.854168,23.541666,2025-12-23,19.135548
1.0182366,37.854168,23.541666,2025-12-24,19.000114
1.0182366,37.854168,23.541666,2025-12-25,19.024591
1.0182366,37.854168,23.541666,2025-12-26,18.958204
1.0182366,37.854168,23.541666,2025-12-27,18.866652
1.0182366,37.854168,23.541666,2025-12-28,18.77791
1.0182366,37.854168,23.541666,2025-12-29,18.69208
1.0182366,37.854168,23.541666,2025-12-30,18.632708
1.0182366,37.854168,23.541666,2025-12-31,18.537851
1.0182366,37.854168,23.541666,2026-01-01,18.383747
1.0182366,37.854168,23.541666,2026-01-02,18.277796
1.0182366,37.854168,23.541666,2026-01-03,18.21646
1.0182366,37.854168,23.541666,2026-01-04,18.168022
1.0182366,37.854168,23.541666,2026-01-05,18.112366
1.0182366,37.854168,23.541666,2026-01-06,18.048878
1.0182366,37.854168,23.541666,2026-01-07,18.02565
1.0182366,37.854168,23.541666,2026-01-08,17.962347
1.0182366,37.854168,23.541666,2026-01-09,17.854042
1.0182366,37.854168,23.541666,2026-01-10,17.800703
1.0182366,37.854168,23.541666,2026-01-11,17.741268
1.0182366,37.854168,23.541666,2026-01-12,17.623688
1.0182366,37.854168,23.541666,2026-01-13,17.509651
1.0182366,37.854168,23.541666,2026-01-14,17.453894
1.0182366,37.854168,23.541666,2026-01-15,17.41172
1.0182366,37.854168,23.541666,2026-01-16,17.372208
1.0182366,37.854168,23.541666,2026-01-17,17.31119
1.0182366,37.854168,23.541666,2026-01-18,17.201033
1.0182366,37.854168,23.541666,2026-01-19,17.094107
1.0182366,37.854168,23.541666,2026-01-20,16.989765
1.0182366,37.854168,23.541666,2026-01-21,16.905928
1.0182366,37.854168,23.583334,2025-12-22,19.221016
1.0182366,37.854168,23.583334,2025-12-23,19.157946
1.0182366,37.854168,23.583334,2025-12-24,19.015284
1.0182366,37.854168,23.583334,2025-12-25,19.055073
